{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-05T20:39:38Z', 'requestId': 'hc-0e7a5b', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 561, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1385, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 34, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 799, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.11900000000000001, 'memory': 0.49}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-05T20:39:40Z', 'requestId': 'hc-dfca9b', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1480, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 819, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1071, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1241, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.136, 'memory': 0.488}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-05T20:39:42Z', 'requestId': 'hc-5f5b45', 'serviceName': 'calls/health', 'status': 'DEGRADED', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 99, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 88, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 37, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 729, 'statusCode': 500}], 'message': 'Systems operational with minor issues', 'metrics': {'cpu': 0.142, 'memory': 0.488}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-05T20:39:43Z', 'requestId': 'hc-b21c8c', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 977, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1347, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 650, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1128, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.132, 'memory': 0.488}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-05T20:39:44Z', 'requestId': 'hc-e34475', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1412, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 77, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 860, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 805, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.152, 'memory': 0.488}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-05T20:39:58Z', 'requestId': 'hc-979b80', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1212, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 34, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1012, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 893, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.132, 'memory': 0.49}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-05T20:39:59Z', 'requestId': 'hc-ee1a13', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 667, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 53, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 52, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1041, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.12300000000000001, 'memory': 0.489}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-05T20:40:01Z', 'requestId': 'hc-ab80b6', 'serviceName': 'calls/health', 'status': 'DEGRADED', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 84, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 936, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 31, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 42, 'statusCode': 200}], 'message': 'Systems operational with minor issues', 'metrics': {'cpu': 0.151, 'memory': 0.48700000000000004}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-05T20:40:02Z', 'requestId': 'hc-f6fc8a', 'serviceName': 'calls/health', 'status': 'DEGRADED', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1237, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 47, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 50, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 68, 'statusCode': 200}], 'message': 'Systems operational with minor issues', 'metrics': {'cpu': 0.11900000000000001, 'memory': 0.48700000000000004}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-05T20:40:04Z', 'requestId': 'hc-0b0c23', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1371, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1004, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1086, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 58, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.158, 'memory': 0.488}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T09:58:26Z', 'requestId': 'hc-fc2f6a', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 847, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 509, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 94, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 54, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.21600000000000003, 'memory': 0.45799999999999996}}
