{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:04Z', 'requestId': '1', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 39, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 66, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1424, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1129, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.21, 'memory': 0.478}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:06Z', 'requestId': '2', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1038, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 981, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 35, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1102, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.22899999999999998, 'memory': 0.478}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:08Z', 'requestId': '3', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 636, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 57, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 56, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 980, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.191, 'memory': 0.48100000000000004}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:10Z', 'requestId': '4', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 691, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 51, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 94, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1207, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.146, 'memory': 0.478}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:12Z', 'requestId': '5', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1135, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 906, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 922, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1376, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.16699999999999998, 'memory': 0.478}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:14Z', 'requestId': '6', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1028, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 43, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1399, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1015, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.184, 'memory': 0.478}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:16Z', 'requestId': '7', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 951, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 86, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 81, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1283, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.166, 'memory': 0.47600000000000003}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:18Z', 'requestId': '8', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 897, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 87, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 69, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1441, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.205, 'memory': 0.478}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:20Z', 'requestId': '9', 'serviceName': 'calls/health', 'status': 'DEGRADED', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 63, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 50, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 31, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 663, 'statusCode': 503}], 'message': 'Systems operational with minor issues', 'metrics': {'cpu': 0.235, 'memory': 0.478}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:22Z', 'requestId': '10', 'serviceName': 'calls/health', 'status': 'DEGRADED', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 34, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 35, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1430, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 69, 'statusCode': 200}], 'message': 'Systems operational with minor issues', 'metrics': {'cpu': 0.235, 'memory': 0.48100000000000004}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-07T11:30:24Z', 'requestId': '11', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1276, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1300, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 596, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1183, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.222, 'memory': 0.48}}
