{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:28Z', 'requestId': '1', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 44, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1434, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1470, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 759, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.1, 'memory': 0.5529999999999999}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:31Z', 'requestId': '2', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1008, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1311, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 604, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 93, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.16, 'memory': 0.552}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:34Z', 'requestId': '3', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1188, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1473, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 61, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1391, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.12, 'memory': 0.5529999999999999}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:37Z', 'requestId': '4', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1474, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1461, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1255, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1281, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.16699999999999998, 'memory': 0.556}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:40Z', 'requestId': '5', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 524, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 838, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1138, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1359, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.264, 'memory': 0.5539999999999999}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:43Z', 'requestId': '6', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 813, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 960, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 81, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1322, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.168, 'memory': 0.552}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:46Z', 'requestId': '7', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 589, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 597, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 993, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 60, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.157, 'memory': 0.552}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:49Z', 'requestId': '8', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1028, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1193, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 713, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 71, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.179, 'memory': 0.555}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:52Z', 'requestId': '9', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 83, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1123, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 540, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 57, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.33, 'memory': 0.555}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:55Z', 'requestId': '10', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'OK', 'responseTime': 53, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 59, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1451, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1087, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.22399999999999998, 'memory': 0.55}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:58Z', 'requestId': '11', 'serviceName': 'calls/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/calls', 'status': 'ERROR', 'responseTime': 1492, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1283, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1378, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 83, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.205, 'memory': 0.5539999999999999}}
