{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:29Z', 'requestId': '1', 'serviceName': 'users/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/users', 'status': 'ERROR', 'responseTime': 579, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 66, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1351, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1350, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.10800000000000001, 'memory': 0.5529999999999999}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:32Z', 'requestId': '2', 'serviceName': 'users/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/users', 'status': 'ERROR', 'responseTime': 1411, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 561, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 514, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1475, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.105, 'memory': 0.5529999999999999}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:35Z', 'requestId': '3', 'serviceName': 'users/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/users', 'status': 'ERROR', 'responseTime': 881, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1046, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 49, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 734, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.171, 'memory': 0.5529999999999999}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:38Z', 'requestId': '4', 'serviceName': 'users/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/users', 'status': 'ERROR', 'responseTime': 1452, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 875, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 40, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'OK', 'responseTime': 46, 'statusCode': 200}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.145, 'memory': 0.5539999999999999}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:41Z', 'requestId': '5', 'serviceName': 'users/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/users', 'status': 'ERROR', 'responseTime': 1131, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'OK', 'responseTime': 99, 'statusCode': 200}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 1422, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 566, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.25, 'memory': 0.555}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:44Z', 'requestId': '6', 'serviceName': 'users/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/users', 'status': 'ERROR', 'responseTime': 1297, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1033, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 825, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 860, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.252, 'memory': 0.556}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:47Z', 'requestId': '7', 'serviceName': 'users/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/users', 'status': 'OK', 'responseTime': 52, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1420, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 907, 'statusCode': 503}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 606, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.172, 'memory': 0.5539999999999999}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:50Z', 'requestId': '8', 'serviceName': 'users/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/users', 'status': 'ERROR', 'responseTime': 581, 'statusCode': 503}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 985, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 48, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 749, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.26, 'memory': 0.5539999999999999}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:53Z', 'requestId': '9', 'serviceName': 'users/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/users', 'status': 'OK', 'responseTime': 59, 'statusCode': 200}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 1345, 'statusCode': 500}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 50, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 622, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.193, 'memory': 0.555}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:56Z', 'requestId': '10', 'serviceName': 'users/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/users', 'status': 'ERROR', 'responseTime': 1286, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 723, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'ERROR', 'responseTime': 987, 'statusCode': 500}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 982, 'statusCode': 503}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.247, 'memory': 0.555}}
{'type': 'HEALTH_CHECK_RESPONSE', 'timestamp': '2024-09-08T21:16:59Z', 'requestId': '11', 'serviceName': 'users/health', 'status': 'UNHEALTHY', 'version': '0.1.15', 'checkResults': [{'endpoint': '/api/v1/users', 'status': 'ERROR', 'responseTime': 1498, 'statusCode': 500}, {'endpoint': '/api/v1/routing', 'status': 'ERROR', 'responseTime': 596, 'statusCode': 503}, {'endpoint': '/api/v1/forwarding', 'status': 'OK', 'responseTime': 76, 'statusCode': 200}, {'endpoint': '/api/v1/notifications', 'status': 'ERROR', 'responseTime': 1293, 'statusCode': 500}], 'message': 'Critical issues detected', 'metrics': {'cpu': 0.24, 'memory': 0.5529999999999999}}
